image_url;seller_url;Title;Author
http://ecx.images-amazon.com/images/I/51HW60PR2PL._SL160_.jpg;http://www.amazon.co.uk/Death-Army-Wordsworth-Military-Library/dp/1853266981;Death of an Army;Anthony Farrar-Hockley
http://g-ecx.images-amazon.com/images/G/02/ciu/2e/52/aaa236c622a0a444ba3f9110.L._SL160_.jpg;;The Mons Star. The British Expeditionary Force 5th August - 22nd November 1914;David Ascoli
http://ecx.images-amazon.com/images/I/51F8sEu2NAL._SL160_.jpg;;The Zeebrugge Raid 1918: 'The Finest Feat of Arms';Paul Kendall
http://ecx.images-amazon.com/images/I/51OgTLv5B2L._SL160_.jpg;;Somme Success: the Royal Flying Corps and the Battle of the Somme, 1916;Peter Hart
http://ecx.images-amazon.com/images/I/51kboA+o4jL._SL160_.jpg;http://www.amazon.co.uk/King-Airfighters-Biography-Major-Mannock/dp/1932033998;King of Airfighters: The Biography of Major Mick Mannock, VC, DSO MC;Ira Jones
http://ecx.images-amazon.com/images/I/41CZ2KR6VWL._SL160_.jpg;;Winged Victory;V.M. Yeates
http://ecx.images-amazon.com/images/I/41i6So3Dm1L._SL160_.jpg;http://www.amazon.co.uk/Flying-Fury-Years-Royal-Corps/dp/1935149105;Flying Fury: Five Years in the Royal Flying Corps;James Thomas Byford McCudden
http://ecx.images-amazon.com/images/I/41P5sv-D4cL._SL160_.jpg;;Sagittarius Rising;Cecil Lewis
http://ecx.images-amazon.com/images/I/51gYK2acdRL._SL160_.jpg;http://www.amazon.co.uk/First-World-War-Austria-Hungary-1914-1918/dp/0340573481;The First World War: Germany and Austria-Hungary 1914-1918 Modern Wars;Holger Herwig
http://ecx.images-amazon.com/images/I/51GA2f+YfmL._SL160_.jpg;http://www.amazon.co.uk/Under-Devils-Eye-Forgotten-1915-1918/dp/0750935375;Under the Devil's Eye: Britain's Forgotten Army at Salonika 1915-1918;Alan Wakefield, Simon Moody
http://ecx.images-amazon.com/images/I/61qASzhZVML._SL160_.jpg;http://www.amazon.co.uk/Some-Desperate-Glory-Diary-Officer/dp/1848843011;Some Desperate Glory: The Diary of a Young Officer 1917;Edwin Campion Vaughan
http://ecx.images-amazon.com/images/I/41PWASRVB3L._SL160_.jpg;http://www.amazon.co.uk/German-Guns-Western-Military-Classics/dp/1844150194;With the German Guns: Four Years on the Western Front;Herbert Sulzbach
http://ecx.images-amazon.com/images/I/4188BPzJC0L._SL160_.jpg;http://www.amazon.co.uk/Gardeners-Salonika-Macedonian-Campaign-1915%C2%961918/dp/0571255124;The Gardeners of Salonika: The Macedonian Campaign 19151918;Alan Palmer
http://ecx.images-amazon.com/images/I/51CChl14+4L._SL160_.jpg;http://www.amazon.co.uk/Jutland-1916-Death-Grey-Wastes/dp/030436648X;Jutland, 1916: Death in the Grey Wastes;Peter Hart, Nigel Steel
http://ecx.images-amazon.com/images/I/51qtsvhWM-L._SL160_.jpg;http://www.amazon.co.uk/Forgotten-Front-African-Campaign-1914-1918/dp/0752441264;The Forgotten Front: The East African Campaign 1914-1918;Ross Anderson
http://ecx.images-amazon.com/images/I/51J3MDCTVAL._SL160_.jpg;http://www.amazon.co.uk/Secret-Service-East-Constantinople-British/dp/0719564514;On Secret Service East of Constantinople: The Plot to Bring Down the British Empire;Peter Hopkirk
http://ecx.images-amazon.com/images/I/51J5R8HNWEL._SL160_.jpg;http://www.amazon.co.uk/Defeat-at-Gallipoli-Nigel-Steel/dp/0330490583;Defeat at Gallipoli;Nigel Steel, Peter Hart
http://ecx.images-amazon.com/images/I/51tHddcA+sL._SL160_.jpg;http://www.amazon.co.uk/White-War-Death-Italian-1915-1919/dp/0571223346;The White War: Life and Death on the Italian Front, 1915-1919;Mark Thompson
http://ecx.images-amazon.com/images/I/514GSZPW9JL._SL160_.jpg;http://www.amazon.co.uk/Old-Contemptibles-Robin-Neillands/dp/071955649X;The Old Contemptibles;Robin Neillands
http://ecx.images-amazon.com/images/I/61zFxTrzLJL._SL160_.jpg;http://www.amazon.co.uk/Mons-Retreat-Victory-Sword-Military/dp/1848841701;Mons: The Retreat to Victory;John Terraine
http://ecx.images-amazon.com/images/I/51noK66s+9L._SL160_.jpg;http://www.amazon.co.uk/Douglas-Haig-Educated-Soldier-Cassell/dp/0304353191;Douglas Haig:The Educated Soldier;John Terraine
http://ecx.images-amazon.com/images/I/51VVDS1EENL._SL160_.jpg;http://www.amazon.co.uk/Devil-Dogs-Fighting-Marines-World/dp/0891417265;Devil Dogs: Fighting Marines of World War I;George B. Clark
http://ecx.images-amazon.com/images/I/51lM77LTf6L._SL160_.jpg;http://www.amazon.co.uk/Cambrai-1917-Bryn-Hammond/dp/0753826054;Cambrai 1917;Bryn Hammond
http://ecx.images-amazon.com/images/I/51WZPIjx7vL._SL160_.jpg;http://www.amazon.co.uk/Price-Glory-Verdun-Penguin-History/dp/0140170413;The Price of Glory: Verdun 1916;Alistair Horne
http://ecx.images-amazon.com/images/I/51RM51H15NL._SL160_.jpg;http://www.amazon.co.uk/Verdun-1916-Malcolm-Brown/dp/0752425994;Verdun 1916;Malcolm Brown
http://ecx.images-amazon.com/images/I/41QMZ7XVVTL._SL160_.jpg;http://www.amazon.co.uk/Indian-Voices-Great-War-1914-1918/dp/0333751450;Indian Voices of the Great War: Soldiers' Letters, 1914-1918: Soldiers' Letters, 1914-18;David E. Omissi
http://ecx.images-amazon.com/images/I/51BhlzWOKcL._SL160_.jpg;http://www.amazon.co.uk/Dont-Forget-Me-Cobber-Fromelles/dp/0522855296;Don't Forget Me, Cobber: The Battle of Fromelles;Robin S. Corfield
http://ecx.images-amazon.com/images/I/41ADj4G4WWL._SL160_.jpg;http://www.amazon.co.uk/Ordered-History-Ottoman-First-World/dp/0313315167;Ordered To Die, A History of the Ottoman Army in the First World War;Edward J. Erickson
http://ecx.images-amazon.com/images/I/51fa0DhJF7L._SL160_.jpg;http://www.amazon.co.uk/Deluge-British-Society-First-World/dp/0230002455;The Deluge: British Society and the First World War;Arthur Marwick
